1,Abilene Chr,Southland
2,Alabama A&M,SWAC East
3,Alabama St,SWAC East
4,Albany NY,CAA
5,Alcorn St,SWAC East
6,Ark Pine Bluff,SWAC West
7,Austin Peay,Ohio Valley
8,Bethune-Cookman,MEAC
9,Brown,Ivy
10,Bryant,Northeast
11,Bucknell,Patriot
12,Butler,Pioneer
13,Cal Poly,Big Sky
14,Campbell,Big South
15,Cent Arkansas,Southland
16,Central Conn,Northeast
17,Charleston So,Big South
18,Chattanooga,Southern
19,Citadel,Southern
20,Colgate,Patriot
21,Columbia,Ivy
22,Cornell,Ivy
23,CS Sacramento,Big Sky
24,Dartmouth,Ivy
25,Davidson,Pioneer
26,Dayton,Pioneer
27,Delaware,CAA
28,Delaware St,MEAC
29,Drake,Pioneer
30,Duquesne,Northeast
31,E Illinois,Ohio Valley
32,E Kentucky,Ohio Valley
33,E Washington,Big Sky
34,Elon,CAA
35,ETSU,Southern
36,Florida A&M,MEAC
37,Fordham,Patriot
38,Furman,Southern
39,Gardner Webb,Big South
40,Georgetown,Patriot
41,Grambling,SWAC West
42,Hampton,Independent
43,Harvard,Ivy
44,Holy Cross,Patriot
45,Houston Bap,Southland
46,Howard,MEAC
47,Idaho,Big Sky
48,Idaho St,Big Sky
49,Illinois St,Missouri Valley
50,Incarnate Word,Southland
51,Indiana St,Missouri Valley
52,Jackson St,SWAC East
53,Jacksonville,Pioneer
54,Jacksonville St,Ohio Valley
55,James Madison,CAA
56,Kennesaw,Big South
57,Lafayette,Patriot
58,Lamar,Southland
59,Lehigh,Patriot
60,Maine,CAA
61,Marist,Pioneer
62,McNeese St,Southland
63,Mercer,Southern
64,Missouri St,Missouri Valley
65,Monmouth NJ,Big South
66,Montana,Big Sky
67,Montana St,Big Sky
68,Morehead St,Pioneer
69,Morgan St,MEAC
70,MS Valley St,SWAC East
71,Murray St,Ohio Valley
72,N Colorado,Big Sky
73,N Dakota St,Missouri Valley
74,NC A&T,MEAC
75,NC Central,MEAC
76,New Hampshire,CAA
77,Nicholls St,Southland
78,Norfolk St,MEAC
79,North Alabama,Independent
80,North Dakota,Independent
81,Northern Arizona,Big Sky
82,Northern Iowa,Missouri Valley
83,Northwestern LA,Southland
84,Penn,Ivy
85,Portland St,Big Sky
86,Prairie View,SWAC West
87,Presbyterian,Big South
88,Princeton,Ivy
89,Rhode Island,CAA
90,Richmond,CAA
91,Robert Morris,Northeast
92,S Carolina St,MEAC
93,S Dakota St,Missouri Valley
94,S Illinois,Missouri Valley
95,Sacred Heart,Northeast
96,Sam Houston St,Southland
97,Samford,Southern
98,San Diego,Pioneer
99,Savannah St,MEAC
100,SE Louisiana,Southland
101,SE Missouri St,Ohio Valley
102,SF Austin,Southland
103,South Dakota,Missouri Valley
104,Southern Univ,SWAC West
105,Southern Utah,Big Sky
106,St Francis PA,Northeast
107,Stetson,Pioneer
108,Stony Brook,CAA
109,Tennessee St,Ohio Valley
110,Tennessee Tech,Ohio Valley
111,TN Martin,Ohio Valley
112,Towson,CAA
113,TX Southern,SWAC West
114,UC Davis,Big Sky
115,Valparaiso,Pioneer
116,Villanova,CAA
117,VMI,Southern
118,W Carolina,Southern
119,W Illinois,Missouri Valley
120,Wagner,Northeast
121,Weber St,Big Sky
122,William & Mary,CAA
123,Wofford,Southern
124,Yale,Ivy
125,Youngstown St,Missouri Valley
