1,Green Bay,NFC North
2,Minnesota,NFC North
3,Chicago,NFC North
4,Detroit,NFC North
5,Dallas,NFC East
6,Washington,NFC East
7,NY Giants,NFC East
8,Philadelphia,NFC East
9,Seattle,NFC West
10,LA Rams,NFC West
11,San Francisco,NFC West
12,Arizona,NFC West
13,Carolina,NFC South
14,Atlanta,NFC South
15,Tampa Bay,NFC South
16,New Orleans,NFC South
17,Cincinnati,AFC North
18,Pittsburgh,AFC North
19,Cleveland,AFC North
20,Baltimore,AFC North
21,New England,AFC East
22,Miami,AFC East
23,NY Jets,AFC East
24,Buffalo,AFC East
25,Indianapolis,AFC South
26,Houston,AFC South
27,Tennessee,AFC South
28,Jacksonville,AFC South
29,Kansas City,AFC West
30,Denver,AFC West
31,LA Chargers,AFC West
32,Oakland,AFC West
