rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,Penn St,0.833333333333333,1,31.7,2,B1G-East,0.751822032908961
2,Georgia,0.916666666666667,0.982020302883257,25.8181818181818,23,SEC-East,0.72467288637604
3,Wisconsin,1,0.977118094144521,22.8333333333333,0,B1G-West,0.717270604739781
4,Alabama,0.916666666666667,0.966408549785648,31.1818181818182,12,SEC-West,0.701099309549261
5,Auburn,0.833333333333333,0.94550061448445,25.5,6,SEC-West,0.669528555374897
6,UCF,1,0.924214219265964,25.8181818181818,0,AAC-East,0.637386330898198
7,Clemson,0.916666666666667,0.908960166778398,23.8181818181818,3,ACC-Atlantic,0.614352878064787
8,Ohio St,0.833333333333333,0.899613776329337,33.3,23,B1G-East,0.600239930505827
9,Notre Dame,0.75,0.881407273523273,23.7777777777778,17.3333333333333,Independent,0.572748309903197
10,Washington,0.833333333333333,0.84613795976183,28.3,7,Pac-12-North,0.519492030986859
11,Oklahoma,0.916666666666667,0.84534074985051,22,7,Big-XII,0.518288252681331
12,Miami FL,0.909090909090909,0.804929262951011,16,10,ACC-Coastal,0.457267348403307
13,Mississippi St,0.666666666666667,0.778963085724174,27.125,19.25,SEC-West,0.418058704076664
14,Memphis,0.909090909090909,0.778283365857507,20.5,27,AAC-West,0.417032334533966
15,TCU,0.833333333333333,0.769095133536038,25.1,12.5,Big-XII,0.403158203970882
16,Michigan,0.666666666666667,0.759034833073388,18.5,14.5,B1G-East,0.387967260070171
17,Northwestern,0.75,0.735744457930688,19.4444444444444,19,B1G-West,0.35279904773731
18,Virginia Tech,0.75,0.7312629163418,24.5555555555556,12.6666666666667,ACC-Coastal,0.346031968807234
19,Iowa,0.583333333333333,0.729901899064432,21.4285714285714,9.8,B1G-West,0.343976847598471
20,LSU,0.75,0.728223213365564,17.6666666666667,15.6666666666667,SEC-West,0.341442050458863
21,USC,0.833333333333333,0.727147905870222,14.2,19,Pac-12-South,0.339818347931566
22,Oklahoma St,0.75,0.723678642141414,24.6666666666667,9.33333333333333,Big-XII,0.334579797517442
23,Stanford,0.75,0.722641284504309,18.2222222222222,8,Pac-12-North,0.333013398841902
24,Boise St,0.75,0.713768888789355,17.2222222222222,11,MW-Mountain,0.319616178113011
25,Michigan St,0.75,0.711033437609172,11.8888888888889,24.3333333333333,B1G-East,0.315485676676808
26,FL Atlantic,0.75,0.70546721032407,24.6666666666667,14.3333333333333,CUSA-East,0.307080734199502
27,Toledo,0.833333333333333,0.680306362292586,20.9,25,MAC-West,0.269088128214672
28,South Florida,0.818181818181818,0.680065099694664,20.4444444444444,5.5,AAC-East,0.268723824316233
29,Boston College,0.583333333333333,0.670124383537882,20,19.2,ACC-Atlantic,0.253713451366018
30,Louisville,0.666666666666667,0.668808092118204,24.5,13.25,ACC-Atlantic,0.251725865684653
31,Washington St,0.75,0.668343739700367,18.4444444444444,27.3333333333333,Pac-12-North,0.251024698646671
32,Purdue,0.5,0.666076698324472,17.3333333333333,7.66666666666667,B1G-West,0.247601490880377
33,NC State,0.666666666666667,0.662070351597452,13.875,10.25,ACC-Atlantic,0.2415519510211
34,Fresno St,0.75,0.661911040519896,22.1111111111111,24.3333333333333,MW-West,0.241311393053352
35,San Diego St,0.833333333333333,0.661420063793604,18.5,20.5,MW-West,0.240570023563568
36,Iowa St,0.583333333333333,0.636039098899429,18.8571428571429,5,Big-XII,0.202245043483005
37,Wake Forest,0.583333333333333,0.630435902074023,20.2857142857143,10.8,ACC-Atlantic,0.19378427740897
