rank,team,winpercentage,rating,averageMOV,averageMOL,conference
1,UCF,1,1,33,0,AAC-EAST
2,ALABAMA,1,0.909034431266988,37.6,0,SEC West
3,TCU,1,0.840092885524121,29.25,0,Big-12
4,CLEMSON,1,0.836025119813834,25.6,0,ACC Atlantic
5,MICHIGAN,1,0.832067193874642,18,0,Big-10 East
6,PENN STATE,1,0.815921208679857,32,0,Big-10 East
7,MIAMI-FLORIDA,1,0.808084542511022,25,0,ACC Coastal
8,WISCONSIN,1,0.777810882409734,27.25,0,Big-10 West
9,GEORGIA,1,0.774342432169416,23.8,0,SEC East
10,NOTRE DAME,0.8,0.770452771113207,29.25,1,Independent
11,OKLAHOMA,1,0.753779515967997,28.5,0,Big-12
12,OHIO STATE,0.8,0.751515449094072,37,15,Big-10 East
13,WASHINGTON,1,0.751396472318121,33.2,0,PAC-12 North
14,NAVY,1,0.7105367336963,11.25,0,AAC-WEST
15,USC,0.8,0.709653715370205,12.25,3,PAC-12 South
16,OKLAHOMA STATE,0.8,0.686040448804613,29.25,13,Big-12
17,OREGON,0.8,0.678802800042538,30,2,PAC-12 North
18,MARYLAND,0.75,0.660468489023809,21,28,Big-10 East
19,NC STATE,0.833333333333333,0.658904768493199,15.6,7,ACC Atlantic
20,SAN DIEGO ST,1,0.657309086771064,8.8,0,Mountain West West
21,SMU,0.8,0.652940910377494,27.5,20,AAC-WEST
22,WASHINGTON ST,1,0.6461830130948,20.8,0,PAC-12 North
23,SO FLORIDA,1,0.642597096710439,24.8,0,AAC-EAST
24,FLORIDA,0.75,0.621417444678062,7,16,SEC East
25,AUBURN,0.8,0.620829887023218,31,8,SEC West
26,MINNESOTA,0.75,0.618348234506082,25,7,Big-10 West
27,KENTUCKY,0.8,0.617849683094728,8,1,SEC East
28,WAKE FOREST,0.8,0.610224324393166,26.25,7,ACC Atlantic
29,TEXAS A&M,0.8,0.608851205983952,12,1,SEC West
30,UTAH,1,0.607570296133238,17.75,0,PAC-12 South
31,GEORGIA TECH,0.75,0.607466556717765,23.6666666666667,1,ACC Coastal
32,MICHIGAN STATE,0.75,0.603511468830579,15.3333333333333,20,Big-10 East
33,DUKE,0.8,0.597734649142218,25.25,25,ACC Coastal
34,TX-SAN ANTONIO,1,0.596015446397749,23.6666666666667,0,Conference USA West
35,IOWA,0.6,0.594482527814993,13.6666666666667,4.5,Big-10 West
36,MEMPHIS,0.75,0.58920376222986,8,27,AAC-WEST
37,MARSHALL,0.75,0.580073773168642,14.3333333333333,17,Conference USA East
38,STANFORD,0.6,0.571838114389697,29.6666666666667,10.5,PAC-12 North
39,VIRGINIA TECH,0.8,0.571689577339476,29.75,14,ACC Coastal
40,TEXAS TECH,0.75,0.563691719866674,18.6666666666667,7,Big-12
41,VIRGINIA,0.75,0.559858037927466,19,17,ACC Coastal
42,HOUSTON,0.75,0.556412184704978,15,3,AAC-WEST
43,MISS STATE,0.6,0.55015835399739,38.3333333333333,33.5,SEC West
44,LOUISVILLE,0.666666666666667,0.548563258417825,25.75,20,ACC Atlantic
45,NEBRASKA,0.6,0.544948384859027,13,5.5,Big-10 West
46,PURDUE,0.5,0.53752448054048,27.5,12.5,Big-10 West
47,BOISE STATE,0.5,0.52635475806511,12.5,11,Mountain West Mountain
48,VANDERBILT,0.6,0.525133079365092,23.6666666666667,36.5,SEC East
49,TROY,0.8,0.521213159020971,9.5,11,Sun Belt
50,TOLEDO,0.75,0.51515367744533,16.6666666666667,22,MAC West
51,FIU,0.75,0.514689785169645,4.66666666666667,44,Conference USA East
52,COLORADO,0.6,0.508888188184056,22.6666666666667,15.5,PAC-12 South
53,SO CAROLINA,0.6,0.50827567766055,8.66666666666667,8.5,SEC East
54,FLORIDA STATE,0.333333333333333,0.507637873843316,7,11.5,ACC Atlantic
55,OHIO U,0.8,0.5041612464265,21.5,23,MAC East
56,WESTERN MICH,0.6,0.502654493960501,32,16,MAC West
57,TEXAS,0.5,0.502636949136773,33,6.5,Big-12
58,KANSAS STATE,0.75,0.502601453145418,32.3333333333333,7,Big-12
59,COLORADO STATE,0.6,0.498708461605438,29.6666666666667,16,Mountain West Mountain
60,INDIANA,0.5,0.492809998535844,26,29.5,Big-10 East
61,UCLA,0.6,0.489915586563376,12.6666666666667,13.5,PAC-12 South
62,CALIFORNIA,0.6,0.487734387843078,9.66666666666667,15.5,PAC-12 North
63,ARKANSAS,0.5,0.480945029911833,30,14,SEC West
64,WEST VIRGINIA,0.75,0.478372573670484,33.6666666666667,7,Big-12
65,NEW MEXICO,0.6,0.466912210096853,15,8,Mountain West Mountain
66,LSU,0.6,0.466547835003808,23.6666666666667,16.5,SEC West
67,TULANE,0.5,0.466070313146055,16.5,22,AAC-WEST
68,NORTH TEXAS,0.6,0.464422218180117,21,19.5,Conference USA West
69,BUFFALO,0.6,0.463984106704788,13.3333333333333,7,MAC East
70,APPALACHIAN ST,0.5,0.462994454391983,27,11,Sun Belt
71,NORTHERN ILL,0.5,0.460809043003094,16,4.5,MAC West
72,GEORGIA STATE,0.5,0.460359020574269,27.5,31.5,Sun Belt
73,FRESNO STATE,0.5,0.454988364941495,43,31.5,Mountain West West
74,IOWA STATE,0.5,0.454100518956843,22.5,6.5,Big-12
75,ARMY,0.6,0.448865829290445,25.3333333333333,17.5,Independent
76,TENNESSEE,0.6,0.447201336055826,13.3333333333333,23.5,SEC East
77,UNLV,0.5,0.440513597095545,28,18,Mountain West West
78,UTAH STATE,0.6,0.44050462208986,35,42.5,Mountain West Mountain
79,LOUISIANA TECH,0.6,0.440031455654759,15.6666666666667,18.5,Conference USA West
80,OLE MISS,0.5,0.431464609391547,21,37,SEC West
81,WYOMING,0.6,0.430788666807093,23,28.5,Mountain West Mountain
82,WESTERN KY,0.5,0.425551077813909,13,7,Conference USA East
83,FLA ATLANTIC,0.4,0.423262044764711,31.5,14.3333333333333,Conference USA East
84,EASTERN MICH,0.5,0.422201812046796,10,5.5,MAC West
85,ILLINOIS,0.5,0.414961885099647,8,23,Big-10 West
86,SOUTHERN MISS,0.5,0.41491610380646,28,11,Conference USA West
87,BOSTON COLLEGE,0.4,0.414736124477132,11.5,26.6666666666667,ACC Atlantic
88,ARIZONA,0.5,0.413168923740671,42.5,4.5,PAC-12 South
89,ARIZONA STATE,0.4,0.409451685873928,4,9,PAC-12 South
