rank,team,winpercentage,rating,averageMOV,averageMOL,conference
1,Chiefs,1,1,12.6,0,AFC-West
2,Eagles,0.8,0.692216268029965,11.25,7,NFC-East
3,Falcons,0.75,0.684721515947187,7,6,NFC-South
4,Patriots,0.6,0.654322840817257,8,9,AFC-East
5,Packers,0.8,0.626131246315795,9,11,NFC-North
6,Bills,0.6,0.62149975762553,8.33333333333333,5,AFC-East
7,Panthers,0.8,0.61642319723185,8,21,NFC-South
8,Broncos,0.75,0.61426568939706,11.3333333333333,10,AFC-West
9,Jaguars,0.6,0.597675670871682,26.6666666666667,12,AFC-South
10,Redskins,0.5,0.59073685129666,12,11,NFC-East
11,Lions,0.6,0.538506770317904,11,3.5,NFC-North
12,Saints,0.5,0.535495772403345,20.5,13,NFC-South
13,Texans,0.4,0.485105676293235,23.5,11,AFC-South
14,Steelers,0.6,0.472894411316119,12.3333333333333,13.5,AFC-North
15,Vikings,0.5,0.471158766990195,13.5,12,NFC-North
16,Seahawks,0.6,0.430232986931564,12.3333333333333,7,NFC-West
17,Rams,0.6,0.425175135189379,14.6666666666667,6.5,NFC-West
18,Ravens,0.6,0.409960525022489,15.6666666666667,27,AFC-North
19,Jets,0.6,0.390409075115479,6.66666666666667,17,AFC-East
20,Raiders,0.4,0.377855641439909,17.5,12,AFC-West
21,Chargers,0.2,0.37375022892141,5,5.25,AFC-West
22,Buccaneers,0.5,0.368396065181903,12,11,NFC-South
23,Cowboys,0.4,0.329542087073529,13.5,11.3333333333333,NFC-East
24,Titans,0.4,0.327155890237201,13.5,19.6666666666667,AFC-South
25,Bengals,0.4,0.325622406862065,14,9,AFC-North
26,Dolphins,0.5,0.297688944953948,4,17,AFC-East
27,Bears,0.25,0.256133007337197,6,13,NFC-North
28,Cardinals,0.4,0.223015866596969,3,16.6666666666667,NFC-West
29,49ers,0,0.123643173555203,0,6.2,NFC-West
30,Colts,0.4,0.121365362095787,3,22.6666666666667,AFC-South
31,Giants,0,0.0862428573997572,0,8,NFC-East
32,Browns,0,0,0,9.4,AFC-North
