rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,Philadelphia,0.888888888888889,1,13.875,7,NFC East,0.486978111353967
2,New Orleans,0.75,0.986386718637608,15.3333333333333,13,NFC South,0.473952351625853
3,Kansas City,0.666666666666667,0.94969572607422,10.5,6,AFC West,0.438844868156534
4,LA Rams,0.75,0.934824174572645,20.1666666666667,6.5,NFC West,0.424615142770608
5,New England,0.75,0.931183407726626,9.16666666666667,9,AFC East,0.42113150400736
6,Jacksonville,0.625,0.841150146902781,24.6,11.3333333333333,AFC South,0.334983896693965
7,Pittsburgh,0.75,0.807326737429951,10.5,13.5,AFC North,0.302620237160834
8,Dallas,0.625,0.782804722860355,16.4,11.3333333333333,NFC East,0.279156543184379
9,Minnesota,0.75,0.754816768762115,11.3333333333333,12,NFC North,0.252376492544359
10,Carolina,0.666666666666667,0.741513379359345,8.16666666666667,13.3333333333333,NFC South,0.239647250530677
11,Washington,0.5,0.714937629793412,7.25,11.5,NFC East,0.214218456617545
12,Seattle,0.625,0.69723370786863,11.4,5.66666666666667,NFC West,0.197278600168607
13,Detroit,0.428571428571429,0.673835613101915,11,6.5,NFC North,0.174890319819183
14,Green Bay,0.571428571428571,0.670451106271049,9,11,NFC North,0.171651881450712
15,Atlanta,0.5,0.617062797056118,6.5,7,NFC South,0.120567703709684
16,Buffalo,0.625,0.590831170065295,9.6,7.66666666666667,AFC East,0.0954681807130872
17,Tennessee,0.625,0.559207273303335,9.4,19.6666666666667,AFC South,0.0652091074042615
18,LA Chargers,0.375,0.548990683493765,9,5.8,AFC West,0.0554334449482586
19,Houston,0.375,0.532849586959162,21,8.4,AFC South,0.0399889655020352
20,Baltimore,0.444444444444444,0.5257275597107,21.75,13.6,AFC North,0.0331743105289695
21,Arizona,0.5,0.524214995189178,5.25,20.75,NFC West,0.0317270252591828
22,Denver,0.375,0.50888834908925,11.3333333333333,16.4,AFC West,0.0170618462120015
23,Chicago,0.375,0.49529200742302,7.66666666666667,12,NFC North,0.00405229511034258
24,NY Jets,0.444444444444444,0.484135535384943,8.25,9.8,AFC East,-0.00662268612842097
25,Miami,0.5,0.452363576706221,3.5,19.25,AFC East,-0.0370234313248239
26,Oakland,0.444444444444444,0.434124412477305,9.75,11.4,AFC West,-0.0544754300882837
27,Tampa Bay,0.25,0.419638057136553,12,10.6666666666667,NFC South,-0.0683365836607194
28,Indianapolis,0.333333333333333,0.380664089091206,4,18.3333333333333,AFC South,-0.105628514001135
29,NY Giants,0.125,0.375182392630415,13,13,NFC East,-0.110873631530578
30,Cincinnati,0.375,0.279990655908341,9.66666666666667,11.6,AFC North,-0.201957085402549
31,San Francisco,0,0.230393665758113,0,10.6666666666667,NFC West,-0.249413569732978
32,Cleveland,0,0,0,10.375,AFC North,-0.469863910775179
