opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,31,HOME,0
Massachusetts,1,4,8,21,HOME,0.25538533426154
Arkansas St,1,7,4,7,HOME,0.524067848296713
South Alabama,1,2,9,35,HOME,0.167967087108059
Texas St,1,3,8,2,AWAY,0.224474858691945
New Mexico St,1,3,8,17,AWAY,0.13398213546126
Appalachian St,1,8,2,20,HOME,0.644241657839726
Coastal Car,1,5,6,24,AWAY,0.333241192898541
Clemson,0,11,0,31,AWAY,0.942564618158182
ULM,0,6,5,19,AWAY,0.378517138539589
Troy,0,9,2,14,HOME,0.588872772239511
