opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,48,HOME,0
Charlotte,1,4,7,18,HOME,0.292906743439487
Connecticut,1,1,10,5,AWAY,0.0744965041727562
Liberty,1,4,6,3,HOME,0.316198754607837
Boston College,0,7,4,34,AWAY,0.602731424654135
Ga Southern,0,8,3,21,AWAY,0.572079869444525
Florida Intl,0,8,3,39,AWAY,0.486756559770401
Ohio,0,7,4,16,AWAY,0.598715444793216
South Florida,0,7,4,16,HOME,0.452595857802845
Coastal Car,0,5,6,11,HOME,0.333241192898541
BYU,0,6,5,19,HOME,0.48169203243052
Georgia,0,10,1,39,AWAY,0.864515844502137
