opponent,result,win,loss,margin,location,opponent rating
Utah St,1,10,1,7,HOME,0.690458584009942
Indiana,1,5,6,14,AWAY,0.445239679974541
C Michigan,1,1,10,11,HOME,0.132048349104342
Penn St,1,8,3,4,AWAY,0.674601523595783
Purdue,1,5,6,10,HOME,0.51182949477661
Maryland,1,5,6,21,AWAY,0.488866822633855
Arizona St,0,6,5,3,AWAY,0.53509340638013
Northwestern,0,7,4,10,HOME,0.587573482160584
Michigan,0,10,1,14,HOME,0.870043390965732
Ohio St,0,10,1,20,HOME,0.731656877554098
Nebraska,0,4,7,3,AWAY,0.425057447904111
