opponent,result,win,loss,margin,location,opponent rating
California,1,6,4,30,AWAY,0.413784326073214
Arizona,1,5,6,1,HOME,0.452568571672659
USC,1,5,6,7,HOME,0.449179096949985
Cincinnati,0,9,2,9,HOME,0.646893488751126
Oklahoma,0,10,1,28,AWAY,0.766513981448172
Fresno St,0,9,2,24,HOME,0.697863884812955
Colorado,0,5,6,22,AWAY,0.379646155995091
Washington,0,8,3,7,HOME,0.646329622270859
Utah,0,8,3,31,HOME,0.664279373565793
Oregon,0,7,4,21,AWAY,0.489685126230281
Arizona St,0,6,5,3,AWAY,0.53509340638013
