opponent,result,win,loss,margin,location,opponent rating
Texas St,1,3,8,4,HOME,0.224474858691945
UTEP,1,1,10,9,HOME,0.0245410837264336
Rice,1,1,11,17,AWAY,0.0490021208262123
Arizona St,0,6,5,42,AWAY,0.53509340638013
Baylor,0,5,6,17,HOME,0.408101849113845
Kansas St,0,5,6,24,AWAY,0.491233929635118
Louisiana Tech,0,7,4,28,HOME,0.498743759975181
Southern Miss,0,5,5,10,AWAY,0.335709102219084
UAB,0,9,2,49,AWAY,0.550737444439844
Florida Intl,0,8,3,38,HOME,0.486756559770401
Marshall,0,7,3,23,AWAY,0.563398000757225
