opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,27,HOME,0
Tulsa,1,3,9,9,AWAY,0.254788875736296
UNLV,1,4,8,7,HOME,0.245661928174655
Georgia St,1,2,10,16,HOME,0.20147479716368
South Alabama,1,3,9,24,HOME,0.208387587676124
Coastal Car,1,5,7,28,AWAY,0.31647250459456
ULM,1,6,6,14,HOME,0.366470678076782
Texas St,1,3,9,26,AWAY,0.214759437661359
Alabama,0,12,0,50,AWAY,1
Ga Southern,0,9,3,7,AWAY,0.581896337902468
Appalachian St,0,9,2,26,HOME,0.675199125702711
ULL,0,7,5,4,AWAY,0.487715824102298
