opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,12,HOME,0
Kentucky,0,9,3,15,AWAY,0.658780584665737
Kansas,0,3,9,24,HOME,0.225652558919009
N Illinois,0,7,5,8,AWAY,0.493830663904132
Michigan St,0,7,5,11,AWAY,0.54056336082308
Buffalo,0,10,2,10,HOME,0.572414579168689
Ball St,0,4,8,1,HOME,0.198506919527138
W Michigan,0,7,5,25,HOME,0.459438184960432
Akron,0,4,7,7,AWAY,0.24615285486262
E Michigan,0,7,5,10,AWAY,0.452918070401329
Bowling Green,0,3,9,11,HOME,0.148914903414723
Toledo,0,7,5,38,AWAY,0.48529974991309
