opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,7,HOME,0
UCF,0,11,0,39,HOME,0.815534352713237
Boise St,0,10,2,55,AWAY,0.673169611590466
Syracuse,0,9,3,30,AWAY,0.650093012626571
Cincinnati,0,10,2,42,HOME,0.661691621120456
Memphis,0,8,4,41,AWAY,0.572183215691619
South Florida,0,7,5,8,AWAY,0.435562746544617
Massachusetts,0,4,8,5,HOME,0.254246964781238
Tulsa,0,3,9,30,AWAY,0.254788875736296
SMU,0,5,7,12,HOME,0.345738733150114
East Carolina,0,3,8,34,AWAY,0.258482711032695
Temple,0,8,4,50,HOME,0.576212769137102
