opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,34,HOME,0
Purdue,1,6,6,1,AWAY,0.537934346189599
Toledo,1,7,5,2,HOME,0.48529974991309
Ball St,1,4,8,22,AWAY,0.198506919527138
C Michigan,1,1,11,10,HOME,0.114538678518169
Akron,1,4,7,20,HOME,0.24615285486262
Kent,1,2,10,8,AWAY,0.142479028883439
Buffalo,0,10,2,7,AWAY,0.572414579168689
San Diego St,0,7,5,3,AWAY,0.477646551055897
N Illinois,0,7,5,3,HOME,0.493830663904132
W Michigan,0,7,5,3,AWAY,0.459438184960432
Army,0,9,2,15,HOME,0.590035738811524
