opponent,result,win,loss,margin,location,opponent rating
Kent,1,2,10,7,HOME,0.142479028883439
FCS,1,7,103,20,HOME,0
Rutgers,1,1,11,21,AWAY,0.14662048402134
Minnesota,1,6,6,24,HOME,0.456406988141515
South Florida,0,7,5,6,HOME,0.435562746544617
Penn St,0,9,3,39,HOME,0.691375922866113
Purdue,0,6,6,39,HOME,0.537934346189599
Wisconsin,0,7,5,29,AWAY,0.526905620713481
Maryland,0,5,7,30,AWAY,0.459625516682262
Nebraska,0,4,8,19,AWAY,0.412968926754821
Iowa,0,8,4,63,HOME,0.643519453764994
Northwestern,0,8,4,8,AWAY,0.581712509235264
