opponent,result,win,loss,margin,location,opponent rating
FCS,1,7,103,40,HOME,0
Bowling Green,1,3,9,7,AWAY,0.148914903414723
Illinois,0,4,8,7,AWAY,0.252932074909808
Penn St,0,9,3,53,AWAY,0.691375922866113
Mississippi,0,5,7,21,AWAY,0.442291325902439
Ball St,0,4,8,28,AWAY,0.198506919527138
Ohio,0,8,4,1,HOME,0.604651189021574
Miami OH,0,6,6,25,AWAY,0.463438676083699
Akron,0,4,7,1,HOME,0.24615285486262
Buffalo,0,10,2,34,AWAY,0.572414579168689
Toledo,0,7,5,22,HOME,0.48529974991309
E Michigan,0,7,5,8,HOME,0.452918070401329
