opponent,result,win,loss,margin,location,opponent rating
Bowling Green,1,3,9,15,AWAY,0.148914903414723
Akron,1,4,7,24,AWAY,0.24615285486262
Kent,1,2,10,25,HOME,0.142479028883439
Ohio,1,8,4,2,HOME,0.604651189021574
N Illinois,1,7,5,6,AWAY,0.493830663904132
Ball St,1,4,8,21,HOME,0.198506919527138
Marshall,0,8,3,7,HOME,0.580430292344162
Cincinnati,0,10,2,21,AWAY,0.661691621120456
Minnesota,0,6,6,23,AWAY,0.456406988141515
W Michigan,0,7,5,1,HOME,0.459438184960432
Army,0,9,2,1,AWAY,0.590035738811524
Buffalo,0,10,2,9,AWAY,0.572414579168689
