opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,8,HOME,0.114538678518169
E Michigan,1,7,5,3,AWAY,0.452918070401329
Ball St,1,4,8,8,AWAY,0.198506919527138
Ohio,1,8,4,3,HOME,0.604651189021574
BYU,1,6,6,1,AWAY,0.469166607234911
Akron,1,4,7,10,AWAY,0.24615285486262
Toledo,1,7,5,23,HOME,0.48529974991309
Iowa,0,8,4,26,AWAY,0.643519453764994
Utah,0,9,3,11,HOME,0.65995278082548
Florida St,0,5,7,18,AWAY,0.419840811871539
Miami OH,0,6,6,6,HOME,0.463438676083699
W Michigan,0,7,5,7,AWAY,0.459438184960432
