opponent,result,win,loss,margin,location,opponent rating
Memphis,1,8,4,1,HOME,0.572183215691619
FCS,1,7,103,30,HOME,0
Tulsa,1,3,9,8,HOME,0.254788875736296
Hawaii,0,8,5,18,AWAY,0.423604217358159
SMU,0,5,7,1,AWAY,0.345738733150114
Air Force,0,5,7,28,AWAY,0.421484803991916
Temple,0,8,4,7,HOME,0.576212769137102
Houston,0,8,4,13,HOME,0.527775711043032
Notre Dame,0,12,0,22,NEUTRAL,0.859257161828909
Cincinnati,0,10,2,42,AWAY,0.661691621120456
UCF,0,11,0,11,AWAY,0.815534352713237
Tulane,0,6,6,1,AWAY,0.41598389157235
