opponent,result,win,loss,margin,location,opponent rating
Minnesota,1,6,6,25,HOME,0.456406988141515
FCS,1,7,103,36,HOME,0
Illinois,1,4,8,19,HOME,0.252932074909808
Michigan St,1,7,5,3,HOME,0.54056336082308
Colorado,0,5,7,5,HOME,0.351175682184439
Troy,0,9,3,5,HOME,0.562975209007154
Michigan,0,10,2,46,AWAY,0.812987780667157
Purdue,0,6,6,14,HOME,0.537934346189599
Wisconsin,0,7,5,17,AWAY,0.526905620713481
Northwestern,0,8,4,3,AWAY,0.581712509235264
Ohio St,0,11,1,5,AWAY,0.768853929712638
Iowa,0,8,4,3,AWAY,0.643519453764994
