opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,28,HOME,0.000769998244192226
UT San Antonio,1,3,9,17,AWAY,0.157072136220403
Kansas,1,3,9,19,HOME,0.221018492957153
Kansas St,1,5,7,3,HOME,0.472544202064512
Oklahoma St,1,6,6,4,HOME,0.509986694345833
Texas Tech,1,5,7,11,NEUTRAL,0.433867128284314
Duke,0,7,5,13,HOME,0.5192774409515
Oklahoma,0,12,1,33,AWAY,0.780914806571746
Texas,0,9,4,6,AWAY,0.624442893770101
West Virginia,0,8,3,44,AWAY,0.68824171421713
Iowa St,0,8,4,14,AWAY,0.576450167683861
TCU,0,6,6,7,HOME,0.472750818076519
