opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,41,HOME,0.000769998244192226
Texas A&M,1,8,4,2,AWAY,0.612204350528535
Ga Southern,1,9,3,31,HOME,0.580629140209413
Georgia Tech,1,7,5,28,AWAY,0.524202622754867
Syracuse,1,9,3,4,HOME,0.659872406070867
Wake Forest,1,6,6,60,AWAY,0.473718361993184
NC State,1,9,3,34,HOME,0.658476757405083
Florida St,1,5,7,49,AWAY,0.433535169304531
Louisville,1,2,10,61,HOME,0.229406836627335
Boston College,1,7,5,20,AWAY,0.583380130118003
Duke,1,7,5,29,HOME,0.5192774409515
South Carolina,1,7,5,21,HOME,0.552574974401991
Pittsburgh,1,7,6,32,NEUTRAL,0.539907904792352
