opponent,result,win,loss,margin,location,opponent rating
Arkansas,1,2,10,7,HOME,0.269664580760485
San Jose St,1,1,11,12,AWAY,0.159323559459047
New Mexico,1,3,9,2,HOME,0.236699965704469
Hawaii,0,8,5,9,HOME,0.423791787116062
Colorado,0,5,7,32,NEUTRAL,0.347842752816767
Florida,0,9,3,38,AWAY,0.651217922368491
FCS,0,8,106,16,HOME,0.000769998244192226
Boise St,0,10,3,28,AWAY,0.650992768654197
Wyoming,0,6,6,13,HOME,0.419358145826074
Nevada,0,7,5,39,AWAY,0.440983667473
Utah St,0,10,2,5,HOME,0.667466493543272
Air Force,0,5,7,8,AWAY,0.419626714314724
