opponent,result,win,loss,margin,location,opponent rating
Air Force,1,5,7,6,HOME,0.419626714314724
FCS,1,8,106,21,HOME,0.000769998244192226
Old Dominion,1,4,8,19,HOME,0.249476996007373
Florida Intl,1,8,4,35,AWAY,0.475982875318223
WKU,1,3,9,19,HOME,0.216702075652369
Oklahoma,0,12,1,49,AWAY,0.780914806571746
UCF,0,12,0,20,AWAY,0.824142322793354
MTSU,0,8,5,1,AWAY,0.484435690225168
Marshall,0,8,4,24,AWAY,0.531754889860287
Louisiana Tech,0,7,5,8,HOME,0.441140405717563
North Texas,0,9,3,3,AWAY,0.566226921948455
Charlotte,0,5,7,3,HOME,0.323727691666351
