opponent,result,win,loss,margin,location,opponent rating
Colorado St,1,3,9,9,AWAY,0.161064288308334
Navy,1,3,9,18,HOME,0.324077406998877
Rice,1,2,11,14,HOME,0.087561129839736
FCS,1,8,106,21,HOME,0.000769998244192226
San Jose St,1,1,11,3,AWAY,0.159323559459047
Wyoming,1,6,6,4,HOME,0.419358145826074
UNLV,1,4,8,7,HOME,0.242047874131288
San Diego St,1,7,5,1,AWAY,0.479206894566261
Army,0,9,2,7,AWAY,0.592703055035996
BYU,0,6,6,26,AWAY,0.468920807623431
Nevada,0,7,5,18,HOME,0.440983667473
Fresno St,0,11,2,30,AWAY,0.703094438818044
Utah St,0,10,2,39,HOME,0.667466493543272
