opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,24,AWAY,0.107247264944998
Rutgers,1,1,11,41,HOME,0.142195290938339
TCU,1,6,6,1,HOME,0.472750818076519
FCS,0,8,106,3,HOME,0.000769998244192226
Baylor,0,6,6,19,AWAY,0.43300358027017
Oklahoma St,0,6,6,20,HOME,0.509986694345833
West Virginia,0,8,3,16,AWAY,0.68824171421713
Texas Tech,0,5,7,32,AWAY,0.433867128284314
Iowa St,0,8,4,24,HOME,0.576450167683861
Kansas St,0,5,7,4,AWAY,0.472544202064512
Oklahoma,0,12,1,15,AWAY,0.780914806571746
Texas,0,9,4,7,HOME,0.624442893770101
