opponent,result,win,loss,margin,location,opponent rating
Miami FL,1,7,5,16,NEUTRAL,0.540586158977233
FCS,1,8,106,31,HOME,0.000769998244192226
Auburn,1,7,5,1,AWAY,0.597819822758721
Louisiana Tech,1,7,5,17,HOME,0.441140405717563
Mississippi,1,5,7,29,HOME,0.441826253707439
Georgia,1,11,2,20,HOME,0.853521788113883
Mississippi St,1,8,4,16,HOME,0.700152924782952
Arkansas,1,2,10,7,AWAY,0.269664580760485
Rice,1,2,11,32,HOME,0.087561129839736
Florida,0,9,3,8,AWAY,0.651217922368491
Alabama,0,13,0,29,HOME,1
Texas A&M,0,8,4,2,AWAY,0.612204350528535
