opponent,result,win,loss,margin,location,opponent rating
Texas,1,9,4,5,HOME,0.624442893770101
Bowling Green,1,3,9,31,AWAY,0.140385424802793
Minnesota,1,6,6,29,HOME,0.458137990603829
Rutgers,1,1,11,27,HOME,0.142195290938339
Illinois,1,4,8,30,HOME,0.251073638319793
Temple,0,8,4,21,HOME,0.574495390132135
Michigan,0,10,2,21,AWAY,0.822928100511648
Iowa,0,8,4,23,AWAY,0.648865014312003
Michigan St,0,7,5,21,HOME,0.544591531393688
Indiana,0,5,7,2,AWAY,0.423952308627547
Ohio St,0,12,1,1,HOME,0.794079344659673
Penn St,0,9,3,35,AWAY,0.697394135264368
