opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,52,HOME,0.000769998244192226
Georgia St,1,2,10,37,HOME,0.192094577935086
South Alabama,1,3,9,17,HOME,0.198141556916694
Connecticut,1,1,11,41,HOME,0.0609382834729059
East Carolina,1,3,9,18,AWAY,0.235473530796368
Tulsa,1,3,9,26,HOME,0.248278564102298
SMU,1,5,7,10,AWAY,0.344428491763609
Houston,1,8,4,21,HOME,0.525693614507003
Navy,0,3,9,1,AWAY,0.324077406998877
Tulane,0,6,6,16,AWAY,0.416988084377754
UCF,0,12,0,1,HOME,0.824142322793354
Missouri,0,8,4,32,AWAY,0.711730361401004
UCF,0,12,0,15,AWAY,0.824142322793354
