opponent,result,win,loss,margin,location,opponent rating
W Michigan,1,7,5,46,HOME,0.460361066971564
SMU,1,5,7,25,HOME,0.344428491763609
Nebraska,1,4,8,46,HOME,0.414758409178414
Northwestern,1,8,5,3,AWAY,0.565096527710274
Maryland,1,5,7,21,HOME,0.461267331603312
Wisconsin,1,7,5,25,HOME,0.528155201562796
Michigan St,1,7,5,14,AWAY,0.544591531393688
Penn St,1,9,3,35,HOME,0.697394135264368
Rutgers,1,1,11,35,AWAY,0.142195290938339
Indiana,1,5,7,11,HOME,0.423952308627547
Notre Dame,0,12,0,7,AWAY,0.874948495859429
Ohio St,0,12,1,23,AWAY,0.794079344659673
