opponent,result,win,loss,margin,location,opponent rating
Texas Tech,1,5,7,20,NEUTRAL,0.433867128284314
FCS,1,8,106,35,HOME,0.000769998244192226
Kent,1,2,10,21,HOME,0.134175713618153
ULM,1,6,6,49,HOME,0.344645210077282
Arkansas,1,2,10,4,AWAY,0.269664580760485
Alabama,0,13,0,55,HOME,1
LSU,0,9,3,29,AWAY,0.726814543315172
Auburn,0,7,5,15,HOME,0.597819822758721
South Carolina,0,7,5,4,HOME,0.552574974401991
Texas A&M,0,8,4,14,AWAY,0.612204350528535
Vanderbilt,0,6,6,7,AWAY,0.536973229914925
Mississippi St,0,8,4,32,HOME,0.700152924782952
