opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,32,HOME,0.000769998244192226
New Mexico St,1,3,9,17,AWAY,0.135628013475393
UNLV,1,4,8,36,AWAY,0.242047874131288
Wisconsin,0,7,5,31,AWAY,0.528155201562796
Liberty,0,6,6,9,HOME,0.340221082457989
Colorado St,0,3,9,2,AWAY,0.161064288308334
Fresno St,0,11,2,31,HOME,0.703094438818044
Utah St,0,10,2,42,AWAY,0.667466493543272
San Diego St,0,7,5,8,HOME,0.479206894566261
Air Force,0,5,7,18,AWAY,0.419626714314724
Boise St,0,10,3,31,HOME,0.650992768654197
Wyoming,0,6,6,28,HOME,0.419358145826074
