opponent,result,win,loss,margin,location,opponent rating
Virginia Tech,1,6,6,14,HOME,0.439317027736125
WKU,1,3,9,3,AWAY,0.216702075652369
North Texas,1,9,3,3,HOME,0.566226921948455
FCS,1,8,106,63,HOME,0.000769998244192226
Liberty,0,6,6,42,AWAY,0.340221082457989
Florida Intl,0,8,4,8,HOME,0.475982875318223
Charlotte,0,5,7,3,AWAY,0.323727691666351
East Carolina,0,3,9,2,AWAY,0.235473530796368
FL Atlantic,0,5,7,19,AWAY,0.461693554039236
Marshall,0,8,4,22,HOME,0.531754889860287
MTSU,0,8,5,34,HOME,0.484435690225168
Rice,0,2,11,14,AWAY,0.087561129839736
