opponent,result,win,loss,margin,location,opponent rating
Appalachian St,1,10,2,7,HOME,0.659401122251941
Pittsburgh,1,7,6,45,AWAY,0.539907904792352
Kent,1,2,10,53,HOME,0.134175713618153
Illinois,1,4,8,39,AWAY,0.251073638319793
Indiana,1,5,7,5,AWAY,0.423952308627547
Iowa,1,8,4,6,HOME,0.648865014312003
Wisconsin,1,7,5,12,HOME,0.528155201562796
Rutgers,1,1,11,13,AWAY,0.142195290938339
Maryland,1,5,7,35,HOME,0.461267331603312
Ohio St,0,12,1,1,HOME,0.794079344659673
Michigan St,0,7,5,4,HOME,0.544591531393688
Michigan,0,10,2,35,AWAY,0.822928100511648
