opponent,result,win,loss,margin,location,opponent rating
Texas St,1,3,9,28,HOME,0.205154738347006
Ohio St,0,12,1,49,AWAY,0.794079344659673
Kansas,0,3,9,41,AWAY,0.221018492957153
Buffalo,0,10,3,29,HOME,0.548891754404769
Indiana,0,5,7,7,HOME,0.423952308627547
Illinois,0,4,8,21,HOME,0.251073638319793
Maryland,0,5,7,27,AWAY,0.461267331603312
Northwestern,0,8,5,3,HOME,0.565096527710274
Wisconsin,0,7,5,14,AWAY,0.528155201562796
Michigan,0,10,2,35,HOME,0.822928100511648
Penn St,0,9,3,13,HOME,0.697394135264368
Michigan St,0,7,5,4,AWAY,0.544591531393688
