opponent,result,win,loss,margin,location,opponent rating
Coastal Car,1,5,7,34,HOME,0.311564379778839
Vanderbilt,1,6,6,23,AWAY,0.536973229914925
Missouri,1,8,4,2,HOME,0.711730361401004
Tennessee,1,5,7,3,HOME,0.426213570238814
Mississippi,1,5,7,4,AWAY,0.441826253707439
FCS,1,8,106,40,HOME,0.000769998244192226
Akron,1,4,8,25,HOME,0.227510841608756
Georgia,0,11,2,24,HOME,0.853521788113883
Kentucky,0,9,3,14,AWAY,0.662329133530505
Texas A&M,0,8,4,3,HOME,0.612204350528535
Florida,0,9,3,4,AWAY,0.651217922368491
Clemson,0,13,0,21,AWAY,0.961719907014965
