opponent,result,win,loss,margin,location,opponent rating
San Diego St,1,7,5,21,HOME,0.479206894566261
USC,1,5,7,14,HOME,0.440537069586333
FCS,1,8,106,20,HOME,0.000769998244192226
Oregon,1,8,4,7,AWAY,0.505073020726282
Arizona St,1,7,5,7,AWAY,0.545411390581512
Oregon St,1,2,10,31,HOME,0.173732331314971
UCLA,1,3,9,7,AWAY,0.280733958670922
California,1,7,5,10,AWAY,0.419560912467013
Notre Dame,0,12,0,21,AWAY,0.874948495859429
Utah,0,9,4,19,HOME,0.642840902543242
Washington St,0,10,2,3,HOME,0.674582596015174
Washington,0,10,3,4,AWAY,0.679428969852715
