opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,48,HOME,0.000769998244192226
SMU,1,5,7,30,AWAY,0.344428491763609
Iowa St,1,8,4,3,HOME,0.576450167683861
Kansas St,1,5,7,1,HOME,0.472544202064512
Baylor,1,6,6,7,AWAY,0.43300358027017
Oklahoma St,1,6,6,7,HOME,0.509986694345833
Ohio St,0,12,1,12,HOME,0.794079344659673
Texas,0,9,4,15,AWAY,0.624442893770101
Texas Tech,0,5,7,3,HOME,0.433867128284314
Oklahoma,0,12,1,25,HOME,0.780914806571746
Kansas,0,3,9,1,AWAY,0.221018492957153
West Virginia,0,8,3,37,AWAY,0.68824171421713
