opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,52,HOME,0.000769998244192226
ULM,1,6,6,38,HOME,0.344645210077282
Arkansas,1,2,10,7,NEUTRAL,0.269664580760485
Kentucky,1,9,3,6,HOME,0.662329133530505
South Carolina,1,7,5,3,AWAY,0.552574974401991
Mississippi,1,5,7,14,HOME,0.441826253707439
UAB,1,10,3,21,HOME,0.521923000912338
LSU,1,9,3,2,HOME,0.726814543315172
Clemson,0,13,0,2,HOME,0.961719907014965
Alabama,0,13,0,22,AWAY,1
Mississippi St,0,8,4,15,AWAY,0.700152924782952
Auburn,0,7,5,4,AWAY,0.597819822758721
