opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,77,HOME,0.000769998244192226
Houston,1,8,4,14,HOME,0.525693614507003
Oklahoma St,1,6,6,24,AWAY,0.509986694345833
TCU,1,6,6,3,AWAY,0.472750818076519
Kansas,1,3,9,32,HOME,0.221018492957153
Mississippi,0,5,7,20,NEUTRAL,0.441826253707439
West Virginia,0,8,3,8,HOME,0.68824171421713
Iowa St,0,8,4,9,AWAY,0.576450167683861
Oklahoma,0,12,1,5,HOME,0.780914806571746
Texas,0,9,4,7,HOME,0.624442893770101
Kansas St,0,5,7,15,AWAY,0.472544202064512
Baylor,0,6,6,11,NEUTRAL,0.43300358027017
