opponent,result,win,loss,margin,location,opponent rating
Tulsa,1,3,9,7,HOME,0.248278564102298
USC,1,5,7,23,HOME,0.440537069586333
TCU,1,6,6,15,HOME,0.472750818076519
Kansas St,1,5,7,5,AWAY,0.472544202064512
Oklahoma,1,12,1,3,NEUTRAL,0.780914806571746
Baylor,1,6,6,6,HOME,0.43300358027017
Texas Tech,1,5,7,7,AWAY,0.433867128284314
Iowa St,1,8,4,14,HOME,0.576450167683861
Kansas,1,3,9,7,AWAY,0.221018492957153
Maryland,0,5,7,5,AWAY,0.461267331603312
Oklahoma St,0,6,6,3,AWAY,0.509986694345833
West Virginia,0,8,3,1,HOME,0.68824171421713
Oklahoma,0,12,1,12,NEUTRAL,0.780914806571746
