opponent,result,win,loss,margin,location,opponent rating
UTEP,1,1,11,28,HOME,0
FCS,1,8,106,29,HOME,0.000769998244192226
San Diego St,1,7,5,3,AWAY,0.479206894566261
Nevada,1,7,5,5,HOME,0.440983667473
USC,0,5,7,22,AWAY,0.440537069586333
Arkansas St,0,8,4,7,AWAY,0.542798882966119
New Mexico,0,3,9,36,HOME,0.236699965704469
Utah St,0,10,2,31,AWAY,0.667466493543272
Air Force,0,5,7,6,HOME,0.419626714314724
San Jose St,0,1,11,13,AWAY,0.159323559459047
Fresno St,0,11,2,45,HOME,0.703094438818044
Hawaii,0,8,5,7,AWAY,0.423791787116062
