opponent,result,win,loss,margin,location,opponent rating
Wyoming,1,6,6,22,AWAY,0.419358145826074
San Jose St,1,1,11,31,HOME,0.159323559459047
FCS,1,8,106,35,HOME,0.000769998244192226
Utah,1,9,4,4,HOME,0.642840902543242
Oregon St,1,2,10,19,AWAY,0.173732331314971
Oregon,1,8,4,14,HOME,0.505073020726282
Stanford,1,8,4,3,AWAY,0.61294634639621
California,1,7,5,6,HOME,0.419560912467013
Colorado,1,5,7,24,AWAY,0.347842752816767
Arizona,1,5,7,41,HOME,0.42753875764292
USC,0,5,7,3,AWAY,0.440537069586333
Washington,0,10,3,13,HOME,0.679428969852715
