opponent,result,win,loss,margin,location,opponent rating
WKU,1,3,9,31,HOME,0.216702075652369
New Mexico,1,3,9,31,HOME,0.236699965704469
Iowa,1,8,4,11,AWAY,0.648865014312003
Nebraska,1,4,8,17,HOME,0.414758409178414
Illinois,1,4,8,29,HOME,0.251073638319793
Rutgers,1,1,11,14,HOME,0.142195290938339
Purdue,1,6,6,3,AWAY,0.5428304930475
BYU,0,6,6,3,HOME,0.468920807623431
Michigan,0,10,2,25,AWAY,0.822928100511648
Northwestern,0,8,5,14,AWAY,0.565096527710274
Penn St,0,9,3,12,AWAY,0.697394135264368
Minnesota,0,6,6,22,HOME,0.458137990603829
