opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,38,HOME,0.0306564416101769
Navy,1,3,10,28,HOME,0.313392423976731
UNLV,1,4,8,6,AWAY,0.247603580267795
New Mexico,1,3,9,18,HOME,0.245595310384797
Colorado St,1,3,9,8,HOME,0.169566605648425
FL Atlantic,0,5,7,6,AWAY,0.464421749662955
Utah St,0,11,2,10,AWAY,0.708214229904193
Nevada,0,8,5,3,HOME,0.462751994971441
San Diego St,0,7,6,4,AWAY,0.453586782400969
Boise St,0,10,3,10,HOME,0.658574973165042
Army,0,11,2,3,AWAY,0.644115124912286
Wyoming,0,6,6,8,AWAY,0.421684424290278
