opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,34,HOME,0.0306564416101769
Northwestern,1,9,5,5,AWAY,0.592231271898692
Kent,1,2,10,1,AWAY,0.125184668150524
C Michigan,1,1,11,7,HOME,0.0946578673278474
Iowa St,0,8,5,13,AWAY,0.562559086846239
Miami OH,0,6,6,24,HOME,0.457810523180704
Buffalo,0,10,4,18,AWAY,0.522697195676686
N Illinois,0,8,6,10,HOME,0.479224589283754
E Michigan,0,7,6,20,AWAY,0.438690979737939
Bowling Green,0,3,9,15,HOME,0.13010697143828
Ohio,0,9,4,21,AWAY,0.626176786534068
South Carolina,0,7,6,25,AWAY,0.515064197415904
