opponent,result,win,loss,margin,location,opponent rating
UT San Antonio,1,3,9,42,HOME,0.162663693907543
Michigan St,1,7,6,3,HOME,0.518649921958119
Oregon St,1,2,10,28,HOME,0.172117937342421
USC,1,5,7,3,AWAY,0.437921328327754
Utah,1,9,5,18,HOME,0.612408462118722
UCLA,1,3,9,3,HOME,0.27536664391398
Arizona,1,5,7,1,AWAY,0.42540551169362
San Diego St,0,7,6,7,AWAY,0.453586782400969
Washington,0,10,4,7,AWAY,0.664997673550361
Colorado,0,5,7,7,AWAY,0.345692884887595
Stanford,0,9,4,7,HOME,0.618221465818718
Oregon,0,9,4,2,AWAY,0.52331523621102
Fresno St,0,12,2,11,NEUTRAL,0.720722476078819
