opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,31,HOME,0.0306564416101769
Oregon St,1,2,10,21,AWAY,0.172117937342421
California,1,7,6,7,HOME,0.411486028863381
Oregon,1,9,4,29,HOME,0.52331523621102
Colorado,1,5,7,8,HOME,0.345692884887595
BYU,0,7,6,5,HOME,0.504342151004454
Houston,0,8,5,27,AWAY,0.478100141265283
USC,0,5,7,4,HOME,0.437921328327754
Utah,0,9,5,32,AWAY,0.612408462118722
UCLA,0,3,9,1,AWAY,0.27536664391398
Washington St,0,11,2,41,AWAY,0.684077336369353
Arizona St,0,7,6,1,HOME,0.52301935263644
