opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,35,HOME,0.0306564416101769
Tulsa,1,3,9,23,HOME,0.232835157298534
Colorado St,0,3,9,7,AWAY,0.169566605648425
North Texas,0,9,4,27,HOME,0.540684469291705
Auburn,0,8,5,31,AWAY,0.640038361628211
Texas A&M,0,9,4,7,NEUTRAL,0.660603878526005
Alabama,0,14,0,34,HOME,0.965850947155229
Mississippi,0,5,7,4,HOME,0.437888309111217
Vanderbilt,0,6,7,14,HOME,0.510106337475818
LSU,0,10,3,7,HOME,0.734087414563615
Mississippi St,0,8,5,46,AWAY,0.641956025115143
Missouri,0,8,5,38,AWAY,0.675537863495906
