opponent,result,win,loss,margin,location,opponent rating
Liberty,1,6,6,24,HOME,0.351557645815842
Hawaii,1,8,6,7,HOME,0.406802564804257
Buffalo,1,10,4,29,AWAY,0.522697195676686
San Jose St,1,1,11,49,AWAY,0.171644613238941
Miami OH,1,6,6,1,HOME,0.457810523180704
E Michigan,1,7,6,15,AWAY,0.438690979737939
Air Force,1,5,7,3,HOME,0.426421908069171
FCS,1,13,111,18,HOME,0.0306564416101769
FCS,1,13,111,14,HOME,0.0306564416101769
Navy,1,3,10,7,NEUTRAL,0.313392423976731
Houston,1,8,5,56,NEUTRAL,0.478100141265283
Duke,0,8,5,20,AWAY,0.57269601521862
Oklahoma,0,12,2,7,AWAY,0.76607699294386
