opponent,result,win,loss,margin,location,opponent rating
Arizona,1,5,7,5,AWAY,0.42540551169362
Wisconsin,1,8,5,3,AWAY,0.565911168234504
FCS,1,13,111,27,HOME,0.0306564416101769
Hawaii,1,8,6,26,HOME,0.406802564804257
Massachusetts,1,4,8,19,AWAY,0.249594088209552
New Mexico St,1,3,9,35,HOME,0.107517533828836
W Michigan,1,7,6,31,NEUTRAL,0.416257845534897
California,0,7,6,3,HOME,0.411486028863381
Washington,0,10,4,28,AWAY,0.664997673550361
Utah St,0,11,2,25,HOME,0.708214229904193
N Illinois,0,8,6,1,HOME,0.479224589283754
Boise St,0,10,3,5,AWAY,0.658574973165042
Utah,0,9,5,8,AWAY,0.612408462118722
