opponent,result,win,loss,margin,location,opponent rating
Troy,1,10,3,36,AWAY,0.565789400128028
Connecticut,1,1,11,55,HOME,0.0415021192452638
Wyoming,1,6,6,20,AWAY,0.421684424290278
Nevada,1,8,5,4,AWAY,0.462751994971441
Colorado St,1,3,9,28,HOME,0.169566605648425
Air Force,1,5,7,10,AWAY,0.426421908069171
BYU,1,7,6,5,HOME,0.504342151004454
Fresno St,1,12,2,7,HOME,0.720722476078819
New Mexico,1,3,9,31,AWAY,0.245595310384797
Utah St,1,11,2,9,HOME,0.708214229904193
Oklahoma St,0,7,6,23,AWAY,0.53411355815879
San Diego St,0,7,6,6,HOME,0.453586782400969
Fresno St,0,12,2,3,HOME,0.720722476078819
