opponent,result,win,loss,margin,location,opponent rating
Massachusetts,1,4,8,34,HOME,0.249594088209552
FCS,1,13,111,48,HOME,0.0306564416101769
Wake Forest,1,7,6,7,AWAY,0.504059457481341
Temple,1,8,5,10,HOME,0.521212513857485
Louisville,1,2,10,18,HOME,0.232848113990365
Miami FL,1,7,6,13,HOME,0.507596886141062
Virginia Tech,1,6,7,10,AWAY,0.433997331892275
Purdue,0,6,7,17,AWAY,0.504017849001278
NC State,0,9,4,5,AWAY,0.622147531438138
Clemson,0,14,0,20,HOME,1
Florida St,0,5,7,1,AWAY,0.438904247918296
Syracuse,0,10,3,21,HOME,0.684258795136365
