opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,7,HOME,0.0306564416101769
C Michigan,1,1,11,11,AWAY,0.0946578673278474
Akron,1,4,8,15,AWAY,0.221373402722626
Oregon,0,9,4,34,AWAY,0.52331523621102
Maryland,0,5,7,31,HOME,0.449926968698574
Miami OH,0,6,6,15,HOME,0.457810523180704
Georgia Tech,0,7,6,46,AWAY,0.489741295172273
Toledo,0,7,6,16,AWAY,0.462712754752618
W Michigan,0,7,6,7,HOME,0.416257845534897
Ohio,0,9,4,35,AWAY,0.626176786534068
Kent,0,2,10,7,HOME,0.125184668150524
Buffalo,0,10,4,30,HOME,0.522697195676686
