opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,38,HOME,0.0306564416101769
Temple,1,8,5,7,AWAY,0.521212513857485
E Michigan,1,7,6,7,HOME,0.438690979737939
Rutgers,1,1,11,29,AWAY,0.126571751638945
C Michigan,1,1,11,10,AWAY,0.0946578673278474
Akron,1,4,8,18,HOME,0.221373402722626
Toledo,1,7,6,14,AWAY,0.462712754752618
Miami OH,1,6,6,9,HOME,0.457810523180704
Kent,1,2,10,34,HOME,0.125184668150524
Bowling Green,1,3,9,30,AWAY,0.13010697143828
Army,0,11,2,29,HOME,0.644115124912286
Ohio,0,9,4,35,AWAY,0.626176786534068
N Illinois,0,8,6,1,NEUTRAL,0.479224589283754
Troy,0,10,3,10,NEUTRAL,0.565789400128028
