opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,24,HOME,0.0306564416101769
Old Dominion,1,4,8,3,HOME,0.253286897950551
WKU,1,3,9,26,HOME,0.223330304089303
Southern Miss,1,6,5,3,HOME,0.353800445236661
FL Atlantic,1,5,7,3,AWAY,0.464421749662955
Appalachian St,0,11,2,36,HOME,0.660691009259259
Massachusetts,0,4,8,18,AWAY,0.249594088209552
UAB,0,11,3,21,AWAY,0.55652998423235
MTSU,0,8,6,8,AWAY,0.463356158609598
Tennessee,0,5,7,11,AWAY,0.420467437106443
Marshall,0,9,4,17,AWAY,0.556688728694209
Florida Intl,0,9,4,7,HOME,0.496536631816851
