opponent,result,win,loss,margin,location,opponent rating
UCLA,1,3,9,9,AWAY,0.27536664391398
Miami OH,1,6,6,21,HOME,0.457810523180704
FCS,1,13,111,56,HOME,0.0306564416101769
Ohio,1,9,4,4,HOME,0.626176786534068
Connecticut,1,1,11,42,AWAY,0.0415021192452638
Tulane,1,7,6,16,HOME,0.416937557461684
SMU,1,5,7,6,AWAY,0.330524118822284
Navy,1,3,10,42,HOME,0.313392423976731
South Florida,1,7,6,12,HOME,0.397671739182868
East Carolina,1,3,9,50,HOME,0.210990400896382
Virginia Tech,1,6,7,4,NEUTRAL,0.433997331892275
Temple,0,8,5,7,AWAY,0.521212513857485
UCF,0,12,1,25,AWAY,0.778692437659974
