opponent,result,win,loss,margin,location,opponent rating
UAB,1,11,3,23,HOME,0.55652998423235
FCS,1,13,111,37,AWAY,0.0306564416101769
FCS,1,13,111,2,AWAY,0.0306564416101769
Massachusetts,1,4,8,11,AWAY,0.249594088209552
Georgia St,1,2,10,3,AWAY,0.149271489777065
South Carolina,0,7,6,34,AWAY,0.515064197415904
Troy,0,10,3,24,AWAY,0.565789400128028
ULM,0,6,6,25,HOME,0.339601840602436
Appalachian St,0,11,2,16,HOME,0.660691009259259
Arkansas St,0,8,5,28,HOME,0.4953070144603
Ga Southern,0,10,3,24,HOME,0.584196529570427
South Alabama,0,3,9,3,AWAY,0.178610835697299
