opponent,result,win,loss,margin,location,opponent rating
Colorado St,1,3,9,32,NEUTRAL,0.169566605648425
Nebraska,1,4,8,5,AWAY,0.414421266224517
FCS,1,13,111,31,HOME,0.0306564416101769
UCLA,1,3,9,22,HOME,0.27536664391398
Arizona St,1,7,6,7,HOME,0.52301935263644
USC,0,5,7,11,AWAY,0.437921328327754
Washington,0,10,4,14,AWAY,0.664997673550361
Oregon St,0,2,10,7,HOME,0.172117937342421
Arizona,0,5,7,8,AWAY,0.42540551169362
Washington St,0,11,2,24,HOME,0.684077336369353
Utah,0,9,5,23,HOME,0.612408462118722
California,0,7,6,12,AWAY,0.411486028863381
