opponent,result,win,loss,margin,location,opponent rating
Army,1,11,2,20,HOME,0.644115124912286
Northwestern,1,9,5,14,AWAY,0.592231271898692
Baylor,1,7,6,13,AWAY,0.458716971875177
FCS,1,13,111,42,HOME,0.0306564416101769
Georgia Tech,1,7,6,14,AWAY,0.489741295172273
Miami FL,1,7,6,8,AWAY,0.507596886141062
North Carolina,1,2,9,7,HOME,0.256023513365747
Temple,1,8,5,29,NEUTRAL,0.521212513857485
Virginia Tech,0,6,7,17,HOME,0.433997331892275
Virginia,0,8,5,14,HOME,0.565550881605665
Pittsburgh,0,7,7,9,AWAY,0.525319578909627
Clemson,0,14,0,29,AWAY,1
Wake Forest,0,7,6,52,HOME,0.504059457481341
