opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,47,HOME,0.0306564416101769
Colorado St,1,3,9,38,HOME,0.169566605648425
Tennessee,1,5,7,26,AWAY,0.420467437106443
Mississippi St,1,8,5,7,AWAY,0.641956025115143
LSU,1,10,3,8,HOME,0.734087414563615
Vanderbilt,1,6,7,10,AWAY,0.510106337475818
South Carolina,1,7,6,4,HOME,0.515064197415904
FCS,1,13,111,53,HOME,0.0306564416101769
Florida St,1,5,7,27,AWAY,0.438904247918296
Michigan,1,10,3,26,NEUTRAL,0.766132049342601
Kentucky,0,10,3,11,HOME,0.668087121738403
Georgia,0,11,3,19,NEUTRAL,0.81580733779053
Missouri,0,8,5,21,HOME,0.675537863495906
