opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,66,HOME,0.0306564416101769
UCLA,1,3,9,24,AWAY,0.27536664391398
Toledo,1,7,6,22,HOME,0.462712754752618
Nevada,1,8,5,18,AWAY,0.462751994971441
Wyoming,1,6,6,24,HOME,0.421684424290278
New Mexico,1,3,9,31,AWAY,0.245595310384797
Hawaii,1,8,6,30,HOME,0.406802564804257
UNLV,1,4,8,45,AWAY,0.247603580267795
San Diego St,1,7,6,9,HOME,0.453586782400969
San Jose St,1,1,11,18,HOME,0.171644613238941
Boise St,1,10,3,3,AWAY,0.658574973165042
Arizona St,1,7,6,11,NEUTRAL,0.52301935263644
Minnesota,0,7,6,7,AWAY,0.493358645239444
Boise St,0,10,3,7,AWAY,0.658574973165042
