opponent,result,win,loss,margin,location,opponent rating
FCS,1,13,111,41,HOME,0.0306564416101769
Bowling Green,1,3,9,46,HOME,0.13010697143828
Louisville,1,2,10,35,AWAY,0.232848113990365
Virginia Tech,1,6,7,21,AWAY,0.433997331892275
North Carolina,1,2,9,10,AWAY,0.256023513365747
Miami FL,1,7,6,6,HOME,0.507596886141062
Virginia,1,8,5,3,HOME,0.565550881605665
South Florida,0,7,6,11,AWAY,0.397671739182868
Pittsburgh,0,7,7,5,AWAY,0.525319578909627
Clemson,0,14,0,28,HOME,1
Duke,0,8,5,14,HOME,0.57269601521862
Georgia,0,11,3,24,AWAY,0.81580733779053
Minnesota,0,7,6,24,NEUTRAL,0.493358645239444
